"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"624","1","1","1","1","2013","1","0",1,"1",0,"75012",48.8451889291203,2.38592524316239,"2","1","1","1",409,100,1700,0,"2",0,365,365,3,90,9,10,10,9,9,9,"0","0",0.06,0.0208,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","0","1","1","131.07632","1012433.49568",62.4
"625","1","0","0","1","2013","1","1",1,"1",0,"75004",48.8614505599774,2.35376411065468,"5","1","2","3",646,300,0,30,"1",0,5,365,166,97,10,10,10,10,10,10,"1","0",2.65,0.918666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","1","207.03008","2412935.5824",8268
"626","1","0","0","1","2013","1","0",1,"1",0,"75011",48.8646414580123,2.37470188183559,"2","1","2","1",667,120,250,0,"1",0,4,1125,7,100,10,10,10,10,10,10,"0","0",0.11,0.0381333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","1","213.76016","1744496.66576",137.28
"627","1","1","1","1","2013","1","0",1,"1",1,"75010",48.8817569810795,2.36180106793437,"6","1","3","5",969,130,400,50,"1",0,5,21,4,100,10,10,10,10,9,10,"0","0",0.07,0.0242666666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","310.54512","2396787.23616",94.6400000000001
"628","1","0","0","1","2013","1","1",2,"1",0,"75020",48.8576162884211,2.40058213134771,"4","1","1","1",603,105,0,65,"2",15,2,1125,100,95,10,10,10,9,9,9,"1","0",1.51,0.523466666666667,"1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","193.24944","1312550.19648",1648.92
"629","1","0","0","0","2013","1","0",1,"1",0,"75006",48.8504470014229,2.32587873324818,"4","1","1","2",398,124,0,40,"1",0,3,1125,54,89,9,9,10,10,10,9,"1","0",0.82,0.284266666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","127.55104","1586990.03968",1057.472
"630","1","0","0","0","2013","1","0",1,"1",1,"75002",48.8644112044168,2.34738859902123,"4","1","1","1",538,55,400,23,"1",8,2,1125,13,92,9,9,9,10,10,10,"0","0",0.19,0.0658666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","1","0","0","0","0","0","0","1","0","172.41824","1610558.77984",108.68
"631","1","1","1","1","2013","1","0",1,"1",1,"75003",48.8671620032419,2.35921931470057,"2","1","1","1",431,88,550,50,"1",0,3,90,69,96,10,9,10,10,10,9,"0","0",1.06,0.367466666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","1","0","0","1","0","0","1","0","1","0","138.12688","1422154.35648",970.112000000001
"632","1","0","0","0","2013","1","0",2,"1",1,"75011",48.8687054213766,2.3714993086024,"4","2","3","3",1938,380,1000,150,"6",0,7,60,2,70,7,8,10,10,9,7,"0","0",0.03,0.0104,"1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","621.09024","5068717.44864",118.56
"633","1","1","1","1","2013","1","0",1,"1",1,"75015",48.8364128815093,2.31019936830811,"4","1","1","1",463,60,700,35,"4",10,4,9,26,88,9,9,9,9,9,9,"0","0",0.44,0.152533333333333,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","1","0","0","0","0","1","0","148.38224","1273268.00144",274.559999999999
